"url","content","type","position"
"https://desafio22.com/","https://sp-ao.shortpixel.ai/client/to_auto,q_lossy,ret_img,w_800,h_215/https://desafio22.com/wp-content/uploads/2019/06/logo-desafio-22-800x215.png","image",1
"https://desafio22.com/","https://sp-ao.shortpixel.ai/client/to_auto,q_lossy,ret_img,w_800,h_215/https://desafio22.com/wp-content/uploads/2019/06/logo-desafio-22-800x215.png","image",2
"https://desafio22.com/","¡Anímate a ser vegano! ¡Anímate a ser vegano! Inscríbete y disfruta de la experiencia vegana durante 22 días Inscríbete y disfruta de la experiencia vegana durante 22 días Desafío 22: Términos de uso Por la presente, quedo informado y soy consciente de que mi participación en el grupo de Desafío 22, entre lo que se incluye todo el contenido publicado en el grupo (preguntas y respuestas, explicaciones y consejos), no sustituye a un asesoramiento profesional (nutricional, médico o de otra índole) y de que la responsabilidad de llevar una dieta sana y equilibrada recae únicamente sobre mí, el participante. Animals Now y el equipo de Desafío 22 no se responsabilizán de ningún problema de salud o de cualquier otro tipo que ocurra como consecuencia de una mala nutrición o conducta durante mi participación en el programa de Desafío 22. Adicionalmente, soy consciente de que la información médica y nutricional que se ofrece en el programa es general y no puede tener en cuenta las condiciones específicas o las necesidades personales de cada participante. El programa de Desafío 22 en sí mismo no constituye un recurso integral para las personas que padezcan enfermedades o problemas de salud/nutricionales/mentales, como trastornos alimenticios, enfermedades gastrointestinales o digestivas, cirugía bariátrica y embarazo. En esto casos, es muy recomendable obtener un asesoramiento personal adicional con un profesional sanitario adecuado, ya sea en sustitución al programa de Desafío 22 o de forma complementaria con él. *Si tienes cualquier necesidad especial y necesitas apoyo personalizado, puedes consultar a uno de los mentores del programa con respecto a qué profesional acudir. * Desafío 22 lo ha creado y lo dirige Animals Now, una organización no gubernamental con sede en Israel.","text",3
"https://desafio22.com/","Grupo de Facebook amigable y solidario Recibe recetas fabulosas Orientación personalizada por Dietistas Registrados Grupo de Facebook amigable y solidario Recibe recetas fabulosas Orientación personalizada por Dietistas Registrados","text",4
"https://desafio22.com/","¿Por qué Desafío 22?","text",5
"https://desafio22.com/","https://sp-ao.shortpixel.ai/client/to_auto,q_lossy,ret_img,w_800,h_450/https://desafio22.com/wp-content/uploads/2019/06/pig-on-the-beach-800x450.jpg","image",6
"https://desafio22.com/","Por los animales","text",7
"https://desafio22.com/","https://sp-ao.shortpixel.ai/client/to_auto,q_lossy,ret_img,w_800,h_450/https://desafio22.com/wp-content/uploads/2019/06/sprout-800x450.jpg","image",8
"https://desafio22.com/","https://sp-ao.shortpixel.ai/client/to_auto,q_lossy,ret_img,w_800,h_450/https://desafio22.com/wp-content/uploads/2019/06/sprout-800x450.jpg","image",9
"https://desafio22.com/","Por el medio ambiente","text",10
"https://desafio22.com/","https://sp-ao.shortpixel.ai/client/to_auto,q_lossy,ret_img,w_800,h_450/https://desafio22.com/wp-content/uploads/2019/06/woman-smiling-looking-back-800x450.jpg","image",11
"https://desafio22.com/","https://sp-ao.shortpixel.ai/client/to_auto,q_lossy,ret_img,w_800,h_450/https://desafio22.com/wp-content/uploads/2019/06/woman-smiling-looking-back-800x450.jpg","image",12
"https://desafio22.com/","Por nuestra salud ¿Cómo funciona?","text",13
"https://desafio22.com/","https://www.desafio22.com/wp-content/uploads/2017/06/chocolate-cake.jpg","image",14
"https://desafio22.com/","data:image/svg+xml,%3Csvg%20xmlns=%22http://www.w3.org/2000/svg%22%20viewBox=%220%200%20518%20454%22%3E%3C/svg%3E","image",15
"https://desafio22.com/","https://www.desafio22.com/wp-content/uploads/2017/06/vegan-Lasagne.jpg","image",16
"https://desafio22.com/","data:image/svg+xml,%3Csvg%20xmlns=%22http://www.w3.org/2000/svg%22%20viewBox=%220%200%20518%20454%22%3E%3C/svg%3E","image",17
"https://desafio22.com/","https://www.desafio22.com/wp-content/uploads/2017/06/vegan-burger.jpg","image",18
"https://desafio22.com/","data:image/svg+xml,%3Csvg%20xmlns=%22http://www.w3.org/2000/svg%22%20viewBox=%220%200%20518%20454%22%3E%3C/svg%3E","image",19
"https://desafio22.com/","https://www.desafio22.com/wp-content/uploads/2017/06/chocolate-cake.jpg","image",20
"https://desafio22.com/","data:image/svg+xml,%3Csvg%20xmlns=%22http://www.w3.org/2000/svg%22%20viewBox=%220%200%20518%20454%22%3E%3C/svg%3E","image",21
"https://desafio22.com/","https://www.desafio22.com/wp-content/uploads/2017/06/vegan-Lasagne.jpg","image",22
"https://desafio22.com/","data:image/svg+xml,%3Csvg%20xmlns=%22http://www.w3.org/2000/svg%22%20viewBox=%220%200%20518%20454%22%3E%3C/svg%3E","image",23
"https://desafio22.com/","1. Regístrate mediante este sencillo formulario 2. Únete a un grupo especial de Facebook de Desafío 22 (Haz click en ""unirte al grupo"") 3. ¡Y cada día recibirás recetas, tips, videos y mucha motivación! Anímate a ser vegan@ por 22 días en compañía de gente como tú. Cada día habrá un Desafío diario o algún tip que te dará la oportunidad de probar algo nuevo. Por ejemplo: ¿Dudas o problemas? Nuestro experimentado equipo está disponible a cualquier hora. Si tienes alguna pregunta privada puedes hacérsela a tuMent@rPersonal. ¿No sabes qué comer antes de un entrenamiento?,¿cómo saber si consumes cantidad suficiente de hierro o proteína, o ¿cómo una dieta vegana puede complementar tus necesidades específicas en lo relacionado a la salud? Dietistas clínicos certificados, especialistas en Nutrición Vegana, contestarán todas tus preguntas en el grupo. ¿Todavía no estás segur@? Visitanuestra sección de preguntas frecuentes. Al día de hoy,55000personas han participado en el Desafío 22 Est@s son algun@s:","text",24
"https://desafio22.com/","https://sp-ao.shortpixel.ai/client/to_auto,q_lossy,ret_img,w_604,h_604/https://desafio22.com/wp-content/uploads/Eroel.jpg","image",25
"https://desafio22.com/","data:image/svg+xml,%3Csvg%20xmlns=%22http://www.w3.org/2000/svg%22%20viewBox=%220%200%20604%20604%22%3E%3C/svg%3E","image",26
"https://desafio22.com/","Eroel, Cuba ""Soy cubano y no sabía lo que era ser vegano. Donde vivo el veganismo es desconocido; pero gracias a los administradores del grupo aprendí lo que es el veganismo y ahora sé que es la solución para dejar a los animales en paz y reducir la deforestación.""","text",27
"https://desafio22.com/","https://sp-ao.shortpixel.ai/client/to_auto,q_lossy,ret_img,w_604,h_604/https://desafio22.com/wp-content/uploads/Eroel.jpg","image",28
"https://desafio22.com/","data:image/svg+xml,%3Csvg%20xmlns=%22http://www.w3.org/2000/svg%22%20viewBox=%220%200%20604%20604%22%3E%3C/svg%3E","image",29
"https://desafio22.com/","https://sp-ao.shortpixel.ai/client/to_auto,q_lossy,ret_img,w_1380,h_1380/https://desafio22.com/wp-content/uploads/Vivian.jpg","image",30
"https://desafio22.com/","data:image/svg+xml,%3Csvg%20xmlns=%22http://www.w3.org/2000/svg%22%20viewBox=%220%200%201380%201380%22%3E%3C/svg%3E","image",31
"https://desafio22.com/","Vivian, Puerto Rico ""Participar en mi primer Desafío me ayudó a fortalecer mis conocimientos. Recibir la mentoría, el apoyo y la dirección de tan espectacular equipo de trabajo provoca seguridad y mayor conciencia vegana en cada participante. La dinámica me motivó a continuar junto al grupo de Graduados y el sano compartir y aprendizaje recíproco es inspirador.""","text",32
"https://desafio22.com/","https://sp-ao.shortpixel.ai/client/to_auto,q_lossy,ret_img,w_1380,h_1380/https://desafio22.com/wp-content/uploads/Vivian.jpg","image",33
"https://desafio22.com/","data:image/svg+xml,%3Csvg%20xmlns=%22http://www.w3.org/2000/svg%22%20viewBox=%220%200%201380%201380%22%3E%3C/svg%3E","image",34
"https://desafio22.com/","https://sp-ao.shortpixel.ai/client/to_auto,q_lossy,ret_img,w_1536,h_1536/https://desafio22.com/wp-content/uploads/Maggie.jpg","image",35
"https://desafio22.com/","data:image/svg+xml,%3Csvg%20xmlns=%22http://www.w3.org/2000/svg%22%20viewBox=%220%200%201536%201536%22%3E%3C/svg%3E","image",36
"https://desafio22.com/","Maggie, Puerto Rico ""Desde que encontré el grupo Desafío 22 decidí ser vegana. Cada día aprendo más. Miro la vida animal de otra manera. Gracias al grupo por ayudarnos.""","text",37
"https://desafio22.com/","https://sp-ao.shortpixel.ai/client/to_auto,q_lossy,ret_img,w_1536,h_1536/https://desafio22.com/wp-content/uploads/Maggie.jpg","image",38
"https://desafio22.com/","data:image/svg+xml,%3Csvg%20xmlns=%22http://www.w3.org/2000/svg%22%20viewBox=%220%200%201536%201536%22%3E%3C/svg%3E","image",39
"https://desafio22.com/","https://sp-ao.shortpixel.ai/client/to_auto,q_lossy,ret_img,w_1080,h_1080/https://desafio22.com/wp-content/uploads/Susana.jpg","image",40
"https://desafio22.com/","data:image/svg+xml,%3Csvg%20xmlns=%22http://www.w3.org/2000/svg%22%20viewBox=%220%200%201080%201080%22%3E%3C/svg%3E","image",41
"https://desafio22.com/","Susana López, República Dominicana ""Desde muy pequeña he sentido empatía por el sentir de los seres.A mis 10 años empecé a reducir mi consumo de carne.Un día navegando en la web me tope con este desafío, el impulso que necesitaba para culminar mi transición, todo el equipo fue muy empático y me proporcionaron la guía e información que necesitaba.Soy vegana desde hace más de 2 años.Actualmente formo parte del equipo de mentor@s del desafío y es para mí un honor poder servir de guía como lo fueron conmigo.""","text",42
"https://desafio22.com/","https://sp-ao.shortpixel.ai/client/to_auto,q_lossy,ret_img,w_1080,h_1080/https://desafio22.com/wp-content/uploads/Susana.jpg","image",43
"https://desafio22.com/","data:image/svg+xml,%3Csvg%20xmlns=%22http://www.w3.org/2000/svg%22%20viewBox=%220%200%201080%201080%22%3E%3C/svg%3E","image",44
"https://desafio22.com/","https://sp-ao.shortpixel.ai/client/to_auto,q_lossy,ret_img,w_1536,h_1536/https://desafio22.com/wp-content/uploads/Melanie.jpg","image",45
"https://desafio22.com/","data:image/svg+xml,%3Csvg%20xmlns=%22http://www.w3.org/2000/svg%22%20viewBox=%220%200%201536%201536%22%3E%3C/svg%3E","image",46
"https://desafio22.com/","Melanie Zaldivar, México ""Estoy muy agradecida con Desafío 22 porque me ayudó a hacerme vegana y conocí a gente bien hermosa que se ha vuelto mi comunidad y red de apoyo. El acompañamiento que brindan con posterioridad a los 22 días me sirvió para no desertar porque intenté en otros programas, pero como sólo me mandaron las recetas o la información, no me sentí cobijada y acá sí. También me gusta que puedes sumarte como voluntaria a este gran equipo que orienta y guía a muchas personas.""","text",47
"https://desafio22.com/","https://sp-ao.shortpixel.ai/client/to_auto,q_lossy,ret_img,w_1536,h_1536/https://desafio22.com/wp-content/uploads/Melanie.jpg","image",48
"https://desafio22.com/","data:image/svg+xml,%3Csvg%20xmlns=%22http://www.w3.org/2000/svg%22%20viewBox=%220%200%201536%201536%22%3E%3C/svg%3E","image",49
"https://desafio22.com/","https://sp-ao.shortpixel.ai/client/to_auto,q_lossy,ret_img,w_604,h_604/https://desafio22.com/wp-content/uploads/Eroel.jpg","image",50
"https://desafio22.com/","data:image/svg+xml,%3Csvg%20xmlns=%22http://www.w3.org/2000/svg%22%20viewBox=%220%200%20604%20604%22%3E%3C/svg%3E","image",51
"https://desafio22.com/","Eroel, Cuba ""Soy cubano y no sabía lo que era ser vegano. Donde vivo el veganismo es desconocido; pero gracias a los administradores del grupo aprendí lo que es el veganismo y ahora sé que es la solución para dejar a los animales en paz y reducir la deforestación.""","text",52
"https://desafio22.com/","https://sp-ao.shortpixel.ai/client/to_auto,q_lossy,ret_img,w_604,h_604/https://desafio22.com/wp-content/uploads/Eroel.jpg","image",53
"https://desafio22.com/","data:image/svg+xml,%3Csvg%20xmlns=%22http://www.w3.org/2000/svg%22%20viewBox=%220%200%20604%20604%22%3E%3C/svg%3E","image",54
"https://desafio22.com/","https://sp-ao.shortpixel.ai/client/to_auto,q_lossy,ret_img,w_1380,h_1380/https://desafio22.com/wp-content/uploads/Vivian.jpg","image",55
"https://desafio22.com/","data:image/svg+xml,%3Csvg%20xmlns=%22http://www.w3.org/2000/svg%22%20viewBox=%220%200%201380%201380%22%3E%3C/svg%3E","image",56
"https://desafio22.com/","Vivian, Puerto Rico ""Participar en mi primer Desafío me ayudó a fortalecer mis conocimientos. Recibir la mentoría, el apoyo y la dirección de tan espectacular equipo de trabajo provoca seguridad y mayor conciencia vegana en cada participante. La dinámica me motivó a continuar junto al grupo de Graduados y el sano compartir y aprendizaje recíproco es inspirador.""","text",57
"https://desafio22.com/","https://sp-ao.shortpixel.ai/client/to_auto,q_lossy,ret_img,w_1380,h_1380/https://desafio22.com/wp-content/uploads/Vivian.jpg","image",58
"https://desafio22.com/","data:image/svg+xml,%3Csvg%20xmlns=%22http://www.w3.org/2000/svg%22%20viewBox=%220%200%201380%201380%22%3E%3C/svg%3E","image",59
"https://desafio22.com/","Nuestros Mentor@s Más de 400 Mentor@s de todo el mundo estarán encantados de ayudarte en el camino hacia el veganismo","text",60
"https://desafio22.com/","https://sp-ao.shortpixel.ai/client/to_auto,q_lossy,ret_img,w_394,h_394/https://desafio22.com/wp-content/uploads/bb-plugin/cache/Dahiana-394x394-circle-7f38c9e6de202471ad0cb5795b9ed7b6-volfhjzx8ekt.jpg","image",61
"https://desafio22.com/","data:image/svg+xml,%3Csvg%20xmlns=%22http://www.w3.org/2000/svg%22%20viewBox=%220%200%20394%20394%22%3E%3C/svg%3E","image",62
"https://desafio22.com/","Dahiana Fontirroig59, Chile","text",63
"https://desafio22.com/","https://sp-ao.shortpixel.ai/client/to_auto,q_lossy,ret_img,w_500,h_500/https://desafio22.com/wp-content/uploads/bb-plugin/cache/May-500x500-circle-f66e52f004d58c307f31703f56a07a2d-isbaftz3wjex.jpg","image",64
"https://desafio22.com/","data:image/svg+xml,%3Csvg%20xmlns=%22http://www.w3.org/2000/svg%22%20viewBox=%220%200%20500%20500%22%3E%3C/svg%3E","image",65
"https://desafio22.com/","May del Castillo33, España","text",66
"https://desafio22.com/","https://sp-ao.shortpixel.ai/client/to_auto,q_lossy,ret_img,w_1455,h_1455/https://desafio22.com/wp-content/uploads/bb-plugin/cache/Haze-Sandoval-circle-5f0be1a5487ce7d45d96239805744bbc-5d0661f13d313.jpg","image",67
"https://desafio22.com/","data:image/svg+xml,%3Csvg%20xmlns=%22http://www.w3.org/2000/svg%22%20viewBox=%220%200%201455%201455%22%3E%3C/svg%3E","image",68
"https://desafio22.com/","Haze Sandoval30, México","text",69
"https://desafio22.com/","https://sp-ao.shortpixel.ai/client/to_auto,q_lossy,ret_img,w_720,h_720/https://desafio22.com/wp-content/uploads/bb-plugin/cache/Misael-Reyes-Gonzalez-circle-9f12c2b3524876da77821bc6ccc9577a-cy71x6tb4f3l.jpg","image",70
"https://desafio22.com/","data:image/svg+xml,%3Csvg%20xmlns=%22http://www.w3.org/2000/svg%22%20viewBox=%220%200%20720%20720%22%3E%3C/svg%3E","image",71
"https://desafio22.com/","Misael Reyes Gonzalez45, México","text",72
"https://desafio22.com/","https://sp-ao.shortpixel.ai/client/to_auto,q_lossy,ret_img,w_720,h_720/https://desafio22.com/wp-content/uploads/bb-plugin/cache/Jimmy-Cordero-circle-ffd9c62c10351af5dc9670293fb26ffa-kqo3u9gbeh62.jpg","image",73
"https://desafio22.com/","data:image/svg+xml,%3Csvg%20xmlns=%22http://www.w3.org/2000/svg%22%20viewBox=%220%200%20720%20720%22%3E%3C/svg%3E","image",74
"https://desafio22.com/","Jimmy Cordero31, El Salvador","text",75
"https://desafio22.com/","https://sp-ao.shortpixel.ai/client/to_auto,q_lossy,ret_img,w_500,h_500/https://desafio22.com/wp-content/uploads/bb-plugin/cache/Nicole-500x500-circle-c68ca930b1db54bb9e1fe22b92ded5f0-anmh86vkcx4r.jpg","image",76
"https://desafio22.com/","data:image/svg+xml,%3Csvg%20xmlns=%22http://www.w3.org/2000/svg%22%20viewBox=%220%200%20500%20500%22%3E%3C/svg%3E","image",77
"https://desafio22.com/","Nicole Villaroel28, Chile","text",78
"https://desafio22.com/","https://sp-ao.shortpixel.ai/client/to_auto,q_lossy,ret_img,w_1024,h_1024/https://desafio22.com/wp-content/uploads/bb-plugin/cache/Koun-Osiris-Casula-circle-270ee38b5db7d071cc74e9f368786160-5d0661f13d007.jpg","image",79
"https://desafio22.com/","data:image/svg+xml,%3Csvg%20xmlns=%22http://www.w3.org/2000/svg%22%20viewBox=%220%200%201024%201024%22%3E%3C/svg%3E","image",80
"https://desafio22.com/","Koun Osiris Casulá38, Honduras","text",81
"https://desafio22.com/","https://sp-ao.shortpixel.ai/client/to_auto,q_lossy,ret_img,w_500,h_500/https://desafio22.com/wp-content/uploads/bb-plugin/cache/Rowan-500x500-circle-701760f19fd9ecbdb931e3adeaa35aa4-sy3pe8i9tklw.jpg","image",82
"https://desafio22.com/","data:image/svg+xml,%3Csvg%20xmlns=%22http://www.w3.org/2000/svg%22%20viewBox=%220%200%20500%20500%22%3E%3C/svg%3E","image",83
"https://desafio22.com/","Rowan Geistmann30, Estados Unidos","text",84
