Date,Content,Created by,Labels,Impressions,Reach,Clicks,Likes,Shares,Comments,Engagement,Engagement rate per impression (%),Engagement rate per reach (%),export.csv.content.videoView,Url
01/02/2024 02:28 PM EST -0500,"There are so many important reasons why people switch to a vegan or plant-based diet, but — in a world dominated by the meat industry and its aggressive marketing and lobbying tactics — it is not always easy to stick to our principles.  But just because we fell off the vegan wagon once does not mean we have to stay off it!  https://lnkd.in/gXnGYf8j",,,405,217,5,9,0,0,14,3.5,6.5,,https://www.linkedin.com/feed/update/urn:li:share:7148032205607321601
01/06/2024 08:48 AM EST -0500,"McCartney, who has long been vocal in her disdain for leather and fur, urged other designers to ditch animal materials and move to more sustainable plant-based alternatives  https://lnkd.in/gSa4kkqu",,,284,188,6,5,0,0,11,3.9,5.9,,https://www.linkedin.com/feed/update/urn:li:share:7149396192051814400
01/12/2024 11:38 AM EST -0500,"All animals who are farmed for dairy are subjected to repeated impregnation and the loss of their young. After all, the industry only makes its profits if it stops the calves from drinking the milk that their mothers produced for them.",Simon Plazolles-Hayes,,280,191,4,6,2,0,12,4.3,6.3,,https://www.linkedin.com/feed/update/urn:li:share:7151613449410592768
01/23/2024 11:34 AM EST -0500,"It is perfectly possible to get the protein you need from a plant-based diet. There is no doubt about that at all, but it is a good idea to know what we need and where to find it.",Simon Plazolles-Hayes,,298,197,9,9,0,0,18,5.7,9.1,,https://www.linkedin.com/feed/update/urn:li:share:7155598708661800961
01/24/2024 02:14 PM EST -0500,"Protein exists in different plant sources that don’t come with the same environmental toll, health risks or horrendous animal suffering that meat and dairy come with.  Here are the top 20 vegan protein sources to show how many amazing options there are!",Simon Plazolles-Hayes,,221,156,10,6,1,0,17,7.7,10.9,,https://www.linkedin.com/feed/update/urn:li:share:7156001216378925056
01/25/2024 04:09 PM EST -0500,"Whey is a by-product of dairy, so it is an animal product and, therefore, associated with all the cruelty inherent in dairy.  Luckily, many vegan protein powders do exactly the same job as whey and are tasty, effective, more ethical, and nutritious.",Simon Plazolles-Hayes,,388,252,9,8,0,1,18,4.6,7.1,,https://www.linkedin.com/feed/update/urn:li:share:7156392545386663936
01/27/2024 10:00 AM EST -0500,"As we learn about the complexity of plant life, we might consider our own behavior, and whether it is ethical to eat plants. As yet, the evidence of plants feeling pain is unconvincing but one day we may discover that they do experience something we would call pain. Until that day, what should we do?  https://lnkd.in/gvAKM8cj",Jamie Logan,,420,207,11,3,0,1,15,3.6,7.2,,https://www.linkedin.com/feed/update/urn:li:share:7157024500880969728
03/01/2024 00:13 PM EST -0500,"The UK Vegan & Animal Rights Conference 2024 is happening this April 13-14th!  There will be engaging programs, networking opportunities, and impactful animal rights advocacy.  Have you gotten your tickets yet? https://lnkd.in/g48unpcH",Jamie Logan,,291,193,3,4,0,0,7,2.4,3.6,,https://www.linkedin.com/feed/update/urn:li:share:7169379257524105216
03/06/2024 03:36 PM EST -0500,"Today, we celebrate together the incredible success of our campaign #HelpTheBuffaloesFromBrotas! 🎉✨  With your support, GenV will donate $10,000 to Ahimsa Sanctuario Vslrdarainha and Rancho Dos Gnomos, the sanctuaries that are taking care of the Buffaloes from Brotas ➔ $1 for every person who signed up to our challenges during this campaign! ⚡  We want to thank each one of you who signed up, shared, and supported this cause. We've shown that compassion moves mountains and makes a difference in the lives of animals. 💛",Jamie Logan,,325,217,4,8,0,1,13,4.0,6.0,,https://www.linkedin.com/feed/update/urn:li:share:7171242144454701056
03/19/2024 10:01 AM EDT -0400,"While the ethics of harvesting pearls is not the hottest topic in animal ethics, we still think it’s worthy of consideration. 17 million tonnes of bivalves are harvested every year for food and pearls, which in terms of individuals is far too many to count, so the potential suffering to them is unimaginable.  https://lnkd.in/gAAy9WKY",Simon Plazolles-Hayes,,408,291,6,4,1,0,11,2.9,3.8,,https://www.linkedin.com/feed/update/urn:li:share:7175853923939885056
