question,answers
what is crop rotation,Crop rotation is the practice of growing a series of different crops in the same area over several seasons
which fish are grown in farms?,"salmon, catfish, rainbow trout, tilapia, and cod are grown in fish farms"
Where does our food come from?,People in developed countries such as the United States eat food that comes from all over the world.
how were the primitive milking machine used?,used hollow wheat stems inserted in the teats to milk cows
What are barns used for?,to store modern farm machinery and house farm animals
Organic farms that raise livestock such as dairy cows or chickens feed the animals with?,natural food
Why do cows stand around in fields eating all day?, to produce four or more gallons of milk
A large diary cows can eat up of?,150 pounds
give other examples of ruminats,"Goats, sheep, camels, and antelope "
what does poverty results in?,"inability to purchase food, safely store food or transport food from where it is grown to where it is needed."
Do cows cause global warming? ,cattle production is not a top contributor to greenhouse gasses
what percentage does agriculture contribute to the total greenhouse gas emissions,9% of total U.S. greenhouse gas emissions
Can the world support more vegetarians than meat eaters?,"Unfortunately, the answer is not as simple as a mere calculation"
How does farming and ranching impact wildlife habitat?," Farmers and ranchers value wildlife conservation and are working hard to improve habitat, while providing food, fiber and fuel to a growing population."
why has Food and Drug Administration has approved  the use of antibiotics in treating animals?,"to treat disease in animals that are sick, control disease for a group of animals when some of the animals are sick and to prevent disease in animals that are at risk for becoming sick"
Is beef a healthy protein option?,serving of beef provides 10 essential nutrients including vitamins B6 and B12 and about half the daily requirement of protein.
do plants have naturally occurring B12?,no 
what is animal welfare?,refers to the conditions in which an animal is raised
why is animal welfare important to ranchers?,animals that are properly cared for will be healthier and more productive
List the Animal Care Principles for producers,"access to food and water, health and veterinary care, appropriate environmental and living conditions, implementing science?�based husbandry practices, using proper handling practices and providing comfortable and sanitary transportation to avoid stress"
why should we have more livestock on the grazzing ground?,their movement and their waste and their relentless chomping stimulate grasses to grow
List the breeds of dairy cattle?,"Holstein, Jersey, Brown Swiss, Ayrshire, Guernsey and Milking Shorthorn"
How many pounds of grain does it take to produce 1 pound of beef?,2.5 pounds
Are beef animals consuming grain that could be used to feed humans?,lifetime 
what important role does agriculture play?,feeding the growing population.
"Could more people be fed if crop land was used for food for human
consumption instead of livestock or livestock feed?", land used f
Where does our food come from?,"87.3% of food and beverage purchases by U.S. consumers, including both grocery store and eating out purchases, were from domestic production. The remaining 12.7% were imported food and beverages such as produce from Chile or wines from France"
what is Food Supply Continuum,The process of getting food from the farm to the table
what processes are involved during harvest phase of  Food Supply Continuum,"harvesting the meat, fruit, vegetable or food product and processing it into a usable form"
