id,question,choices,answer
ani-34,"This species of great apes with long arms and reddish hair suffer habitat destruction due to logging, mining and forest fires.","['Gorilla', 'Baboons', 'Orangutan', 'Chimpanzee']",Orangutan
ani-35,"What is the natural habitat of the snows leopard, that was hunted down for its beautiful fur, as a result of which its population went down to 1,000 animals in the 1960s?","['North America', 'Central Asia and North America', 'Central Asia', 'Europe and North America']",Central Asia
ani-37,"This freshwater mammal, found only in the Yangtze River, is the most endangered (even possibly extinct) cetacean and one of the most endangered species in the world.","['Ganges River Dolphin', 'Chinese River Dolphin', 'La Plata Dolphin', 'Amazon River Dolphin']",Chinese River Dolphin
ani-85,All pigs are classified as un-Kosher meaning they can not be eaten by Jewish people.,"['True', 'False']",False
ani-120,"This sea animal, widely considered the most valuable shellfish, is common in shallow, warmer waters of all oceans.","['Oyster', 'Shrimp', 'Scallop', 'Lobster']",Oyster
ani-181,Goldfish are good parents. They nurse and protect their young until they grow up enough to defend themselves.,"['False', 'True']",False
ani-184,Red-tailed Hawks are hunted in the USA because of their frequent attacks on domestic animals.,"['True', 'False']",False
ani-266,"In Europe, the European Beaver (Castor fiber) was almost wiped out. It was driven to near extinction because of its fur and its scent gland that was used for medicinal purposes.","['True', 'False']",True
ani-312,Grizzly bears are strict carnivores.,"['True', 'False']",False
ani-319,A water bowl should be kept within easy access for your dog at all times.,"['True', 'False']",True
ani-320,Which of these things is something you should never feed your dog?,"['Coconuts', 'Chocolate', 'Milk', 'Raw meat']",Chocolate
ani-388,It was proven that Thylacines killed some sheep in 1957.,"['False', 'True']",False
ani-389,What was the fine for shooting a Thylacine?,"['$10,000', '$1,000', '$3,000', '$5,000']","$5,000"
ani-401,"Although not all bear subspecies are vicious, there is a tendency for increase in bear attacks due to this factor.","['Destruction of bears natural habitat', 'Pollution', 'Genetical mutation of bears', 'Hunting']",Destruction of bears natural habitat
ani-419,What is the #1 reason for the rhinos decline worldwide?,"['Disease', 'Farming', 'Predators', 'Poaching']",Poaching
ani-440,Reindeer are strict herbivores (vegetarians).,"['False', 'True']",False
ani-495,"It has been reported that in the period 1992-2008, Ringling Bros. and Barnum  Bailey Circus had at least this many elephant deaths caused by abuse and neglect.","['24', '0', '1', '7']",24
ani-569,What is the literal meaning of the word carnivore which has a Latin origin?,"['Blood drinker', 'Animal killer', 'Meat eater', 'Monster']",Meat eater
ani-577,Which of these statements is true about the consumption of plant material by carnivores?,"['All of these', 'Carnivores consume feces of herbivores to get nutrients.', 'Carnivores consume some plant material in order to get minerals, vitamins and fiber.', 'Carnivores ingest the plant material the need along with their herbivorous prey.']",All of these
ani-578,What does the term facultative carnivore mean?,"['It is a synonym for scavenger.', 'Animal that has all characteristics of carnivores but is a herbivore.', 'A carnivore that also consumes plant food.', 'It is a synonym for omnivore.']",A carnivore that also consumes plant food.
ani-614,The nutria is a herbivorous animal.,"['True', 'False']",True
ani-644,"According to statistics, how are wolves killed today?","['By people', 'By hunters and poachers', 'By poison and areal hunters', 'All of these']",All of these
ani-663,Vampire bats blood-sucking does not hurt the bitten animal.,"['False', 'True']",True
ani-698,Dolphins are considered some of the most intelligent animals on the planet. How are they classified according to their diet?,"['They are specialized eaters.', 'They are carnivores.', 'They are herbivores.', 'They are omnivores.']",They are carnivores.
ani-706,Chinchillas are great pets for children - they are animals of very friendly nature and love to be held.,"['False', 'True']",False
